Baseline 656981 656781 657886 656595 657197
Adaptive-Sampling 326600 326547 326574 326534 326412
OpenMP 198649 202920 202830 203125 203063
SSERay 285595 285553 283144 283367 283378
Cuda 12495 12485 12487 12480 12480
BIH 664886 658031 663728 666073 666246
KdTree 658609 659584 656825 659814 658806
Kombiniert 19350 19165 14108 19290 19344
