Baseline 9907 9914 9909 9917 9907
Adaptive-Sampling 1182 1181 1183 1180 1181
OpenMP 2498 2489 2485 2488 2486
SSERay 2337 2339 2338 2334 2332
BIH 1254 1255 1260 1256 1250
KdTree 8514 8506 8509 8509 8507
Kombiniert 133 137 110 117 130
